t;framecounter;lat;long;height;GPS_satellites;temp;voltage;temp_int;pressure;humidity_rel;RSSI;CRC;r;v_z;wind;wind_direction;wind_direction_deg;vapor_pressure;dew_point
111,0;64,0;1,2094334631432635;0,2797850128968009;0,165;10,0;4,016633021539576;3,96;27,845479982448694;95,76786;67,18;-50,0;3,0;0,16896021720951548;2,5;5,7784079750693;-2,99450022314581;-171,57222453723816;0,568706717241213;-0,8715934338512462
115,0;65,0;1,2094369253529007;0,2797767238045844;0,19;11,0;3,8142392928245954;3,96;27,845479982448694;95,3847;66,96;-50,0;3,0;0,18745441206430274;6,25;14,282261448309375;-4,316732520688571;-247,33055472232445;0,5577417715174504;-1,1064134239531516
119,0;66,0;1,2094434500917761;0,27976840155111216;0,2365;11,0;3,6020676449025473;3,96;27,845479982448694;95,19098;68,54;-47,0;3,0;0,2313786169050348;11,625;16,81347841379159;-4,047473705140961;-231,90316099475487;0,5612810130844941;-1,0301612940876368
123,0;67,0;1,2094545022147318;0,27974929333739545;0,2335;11,0;3,483265190422287;3,96;27,845479982448694;95,32245;68,58;-44,0;3,0;0,24979625055059781;-0,75;35,096221500043185;-4,188005925561906;-239,95506411047722;0,5562827229551888;-1,1379770233964308
127,0;68,0;1,2094611601222292;0,2797314501383206;0,2445;11,0;;;;;;-53,0;1,0;0,2890017880175483;2,75;30,279805394613497;-4,355255098026666;-249,5377358197636;;
131,0;69,0;1,209469282710035;0,27971393977353415;0,2435;11,0;3,2891842339159325;3,96;27,845479982448694;95,41861999999999;69,73;-48,0;3,0;0,32958300841578203;-0,25;30,689508845553053;-4,278058233487462;-245,11468129002407;0,5568647455037695;-1,1253770721541794
135,0;70,0;1,2094767396292643;0,27969932578264134;0,248;12,0;3,2664518459080227;3,96;27,845479982448694;95,39600999999999;70,68;-54,0;3,0;0,3746292682371621;1,125;26,085063625486846;-4,240567957248628;-242,9666466887593;0,5634212738985958;-0,9842627198572939
139,0;71,0;1,2094841963739604;0,2796803840733353;0,2495;12,0;3,183285928071996;3,96;27,845479982448694;95,37548;70,3;-51,0;3,0;0,4264875760614123;0,375;32,36536452321949;-4,337353119706395;-248,51202801707737;0,5566579491298216;-1,129852537824133
143,0;72,0;1,2094900554442596;0,27966260737130494;0,256;12,0;3,1945793516990193;3,96;27,845479982448694;95,31255999999999;69,74;-47,0;3,0;0,4758480573672959;1,625;29,759137588952232;-4,3940088120904255;-251,7581600760738;0,5527254088785185;-1,215250528737357
147,0;73,0;1,2094992433810408;0,2796490252190659;0,265;12,0;3,236175896492284;3,96;29,25757050926711;95,25553;70,04;-48,0;3,0;0,5355950943057514;2,25;26,07149680863059;-4,117629204323838;-235,92277500756722;0,5569625629797809;-1,1232606454001517
151,0;74,0;1,2095073659688464;0,27962881849511806;0,2755;12,0;;;;;;-58,0;1,0;0,6014854245316148;2,625;34,62565666397168;-4,330181605749922;-248,1011305346523;;
155,0;75,0;1,2095157548938962;0,27961573568157805;0,2885;12,0;3,1417820739472404;3,96;27,845479982448694;94,94082;70,35;-64,0;3,0;0,6608489529034629;3,25;24,709671703164194;-4,1422127599642575;-237,33130899118828;0,5551974803023921;-1,1615031634761046
159,0;76,0;1,20952214646415;0,2795993573373444;0,3005;12,0;3,130513786116069;3,96;29,25757050926711;94,79317;69,98;-58,0;3,0;0,715677532487563;3,0;27,95308370930238;-4,3403200937280415;-248,68202310644267;0,5517770741217319;-1,2359273631804057
163,0;77,0;1,2095321334126627;0,2795873730340355;0,3125;12,0;3,1116649467019215;3,96;27,845479982448694;94,63081;68,93;-56,0;3,0;0,7811477502145716;3,0;24,80312334011349;-4,017649271721231;-230,19434683343542;0,5426744980339561;-1,436062071713027
167,0;78,0;1,209539723325981;0,2795737577205407;0,3305;12,0;3,0478228970105192;3,96;29,25757050926711;94,43972;69,17;-57,0;3,0;0,8405056728810112;4,5;24,783865859483363;-4,20384081549018;-240,86233647242153;0,5417732907602274;-1,4560430841219458
171,0;79,0;1,2095466475707224;0,2795599092310579;0,346;12,0;2,9953512713549344;3,96;29,25757050926711;94,25742;69,02;-54,0;3,0;0,8961983205586608;3,875;24,617224202407336;-4,248741371387091;-243,43494882310577;0,5383194496980929;-1,5329017831215253
175,0;80,0;1,2095561018447476;0,2795480914321597;0,361;12,0;2,9579425397737964;3,96;29,25757050926711;94,04311;68,93;-59,0;3,0;0,9610649992256264;3,75;24,062559975497443;-4,037646237105335;-231,34008855301377;0,5360001944404165;-1,5847656721555026
